id,name,text,trans
0000000000000,麻央,――おはよう、ふたりとも。\n早朝ランニングとは感心だね。,――早安，两位。\n这么早就起来跑步，真是令人佩服呢。
0000000000000,手毬,おはようございます、有村先輩。,早安，有村前辈。
0000000000000,咲季,おはようございます！,早上好！
0000000000000,莉波,――有村麻央の朝は早い。,――有村麻央的一天开始得很早。
0000000000000,莉波,寮長として、\n下級生の子を見守っているのだ。,作为宿舍长，\n正在照看低年级的孩子们。
0000000000000,麻央,朝はバナナと牛乳とゆで卵。\nそれにシリアルが多いかな。,早餐通常是香蕉、牛奶和水煮蛋。\n一般还会加上麦片吧。
0000000000000,麻央,カロリーには気を付けているけど、\nわりと普通の朝食だね。,虽然比较注重卡路里摄入，\n还算是比较普通的早餐呢。
0000000000000,麻央,ふふ、食後は目覚ましに\nブラックコーヒーを一杯飲むのが、\nボクのこだわりでね。,呵呵，饭后为了提神\n喝一杯黑咖啡，\n这是我的固执呢。
0000000000000,莉波,ブラックコーヒーには、\nお砂糖とミルクをたっぷり入れるのが、\n寮長のこだわりだ。,在黑咖啡里加入\n大量的糖和牛奶，\n是宿舍长的固执。
0000000000000,麻央,……莉波。変なナレーションを\n入れないでくれるかい？,……莉波。别擅自\n加上奇怪的旁白哦？
0000000000000,莉波,ふふ、ごめんね。でも、\n普段の麻央を見せてほしいから、\nあんまり、取り繕わないで。,呵呵，对不起啦。但是，\n我想让大家看到平时的麻央，\n所以不要太掩饰自己哦。
0000000000000,麻央,と、取り繕ってはいないよ……,我、我才没有掩饰呢……
0000000000000,麻央,朝は一杯のコーヒーを……\nん、んんん～っ……けほけほっ！,早上喝一杯咖啡……\n嗯，嗯嗯～……咳咳咳！
0000000000000,莉波,ま、麻央！？,麻、麻央！？
0000000000000,莉波,朝食のあとは、早朝の自主レッスン。,吃过早餐后，就是早上的自主练习。
0000000000000,莉波,レッスンルームは、\n予約しておけば自由に使えます。,只要有预约的话，\n练习室就可以自由使用。
0000000000000,麻央,無理のないスケジュールで、\n毎日のレッスンを\n休まないことが大事だね。,关键在于制定一个不过度的日程，\n每天坚持练习、\n不要缺席。
0000000000000,莉波,うん、そうだね。アイドルにとって、\nスケジュールの管理はすごく大事。,嗯，是的呢。\n对偶像来说，日程管理非常重要。
0000000000000,莉波,レッスンだけじゃなくて、\n掃除にお洗濯、就寝時間も――,不仅是练习，还有打扫、洗衣、\n就寝时间也――
0000000000000,麻央,……莉波、ごめん。\nちょっと、待ってて。,……莉波，抱歉。\n稍等一下。
0000000000000,莉波,麻央？,麻央？
0000000000000,後輩,……はぁ、はぁ……,……哈啊，哈啊……
0000000000000,麻央,大丈夫？　ボール、重そうだけど。,没事吧？　这个球看起来很重呢。
0000000000000,後輩,あ、麻央寮長……,啊，麻央宿舍长……
0000000000000,麻央,運ぶの手伝うよ。グラウンドまで、\n持っていけばいいのかな？,我来帮你搬吧。\n是要拿到操场去吗？
0000000000000,後輩,い、いえ、そんな……大丈夫です！\nわたし、普通科ですし……,不，不用了……没关系的！\n我是普通科的……
0000000000000,麻央,困っている子に、\n普通科もアイドル科もないよ。,看见遇到困难的孩子，\n我可不分普通科还是偶像科哦。
0000000000000,麻央,よっ……と、うん、軽い軽い。,嘿……咻。　嗯，很轻很轻。
0000000000000,麻央,それじゃ、莉波。\n悪いけど、また教室で！,那么，莉波。\n抱歉啦，等下教室见！
